thisN,thisTrialN,thisRepN,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions.started,text.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,Fixation.stopped,key_resp.started,trial.stopped,trials.tilt,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_you.started,text_2.started,text_2.stopped,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,False,0.015285874949768186,0.03156304161529988,0.03156304161529988,15.488691541715525,space,15.443260375061072,None,,,,,,,,,,,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
0,0,0,-4,up,0,8.31774575007148,None,0,0,0,0,15.498229041695595,,,,,,,,,,15.489291583304293,15.498229041695595,16.49829041666817,16.49829041666817,24.83451858337503,-4,up,0,8.31774575007148,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
1,0,1,0,up,1,2.2036198750138283,None,1,0,1,0,24.84852241666522,,,,,,,,,,24.83458483335562,24.84852241666522,25.849317958345637,25.849317958345637,28.065354750026017,0,up,1,2.2036198750138283,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
2,0,2,0,up,1,1.1942467499757186,None,2,0,2,0,28.081419124966487,,,,,,,,,,28.065421958337538,28.081419124966487,29.082452125032432,29.065737291704863,30.265018583275378,0,up,1,1.1942467499757186,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
3,0,3,0,up,1,0.5750900834100321,None,3,0,3,0,30.281556041678414,,,,,,,,,,30.265077416668646,30.281556041678414,31.28218695835676,31.264853666652925,31.849385583307594,0,up,1,0.5750900834100321,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
4,0,4,1,up,0,0.40375829162076116,None,4,0,4,0,31.865793999982998,,,,,,,,,,31.849436833290383,31.865793999982998,32.86591858335305,32.84915729169734,33.266005374956876,1,up,0,0.40375829162076116,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
5,0,5,3,up,0,0.3239999583456665,None,5,0,5,0,33.282589666661806,,,,,,,,,,33.26606837497093,33.282589666661806,34.298077124985866,34.26486266660504,34.59866516664624,3,up,0,0.3239999583456665,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
6,0,6,2,up,0,0.8258185000158846,None,6,0,6,0,34.61490987497382,,,,,,,,,,34.598723083385266,34.61490987497382,35.61493308329955,35.59799949999433,36.43170099996496,2,up,0,0.8258185000158846,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
7,0,7,0,up,0,0.30749162496067584,None,7,0,7,0,36.44810141669586,,,,,,,,,,36.43175745836925,36.44810141669586,37.44800600002054,37.4322998332791,37.74823958333582,0,up,0,0.30749162496067584,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
8,0,8,3,up,0,0.5016467500245199,None,8,0,8,0,37.76500083331484,,,,,,,,,,37.74828858335968,37.76500083331484,38.76598820835352,38.74913337500766,39.26519720838405,3,up,0,0.5016467500245199,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
9,0,9,4,down,1,1.1448869582964107,None,9,0,9,0,39.28154462494422,,,,,,,,,,39.26526720833499,39.28154462494422,40.28246345836669,40.2658400000073,41.415875833365135,4,down,1,1.1448869582964107,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
10,0,10,0,up,1,0.5049879583530128,None,10,0,10,0,41.43257437495049,,,,,,,,,,41.415919375023805,41.43257437495049,42.432381833321415,42.415719583281316,42.93253341666423,0,up,1,0.5049879583530128,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
11,0,11,1,up,0,0.8131217916961759,None,11,0,11,0,42.949044166714884,,,,,,,,,,42.93258020828944,42.949044166714884,43.94829958328046,43.93151058338117,44.74870616663247,1,up,0,0.8131217916961759,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
12,0,12,-2,up,0,0.3866200833581388,None,12,0,12,0,44.764856708352454,,,,,,,,,,44.74874841666315,44.764856708352454,45.76581633335445,45.74900774995331,46.14863908337429,-2,up,0,0.3866200833581388,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
13,0,13,0,up,1,0.494443874922581,None,13,0,13,0,46.16506137500983,,,,,,,,,,46.14868429163471,46.16506137500983,47.16578920837492,47.14912304165773,47.648476624977775,0,up,1,0.494443874922581,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
14,0,14,0,up,1,0.7765411667060107,None,14,0,14,0,47.66512141667772,,,,,,,,,,47.64851520827506,47.66512141667772,48.664670541649684,48.64798516663723,49.432047416688874,0,up,1,0.7765411667060107,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
15,0,15,2,down,1,0.5653406250057742,None,15,0,15,0,49.44903716666158,,,,,,,,,,49.43211887497455,49.44903716666158,50.44917854166124,50.432294375030324,50.998835291713476,2,down,1,0.5653406250057742,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
16,0,16,0,up,1,0.7434062083484605,None,16,0,16,0,51.01518116670195,,,,,,,,,,50.99888125003781,51.01518116670195,52.01507387496531,51.99906475003809,52.748220124980435,0,up,1,0.7434062083484605,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
17,0,17,-3,down,1,1.1610619167331606,None,17,0,17,0,52.76461674994789,,,,,,,,,,52.74826512497384,52.76461674994789,53.76517879171297,53.748358791694045,54.916043624980375,-3,down,1,1.1610619167331606,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
18,0,18,0,up,1,0.6266198332887143,None,18,0,18,0,54.93161783332471,,,,,,,,,,54.91608141665347,54.93161783332471,55.93158299999777,55.914769208291546,56.54811995837372,0,up,1,0.6266198332887143,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
19,0,19,0,up,1,0.6832108750240877,None,19,0,19,0,56.56573133333586,,,,,,,,,,56.548160500009544,56.56573133333586,57.56574045831803,57.549109041690826,58.24878549994901,0,up,1,0.6832108750240877,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
20,0,20,-5,down,1,0.4342246250016615,None,20,0,20,0,58.26458237494808,,,,,,,,,,58.24886241671629,58.26458237494808,59.26588266668841,59.24905466660857,59.6986844582716,-5,down,1,0.4342246250016615,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
21,0,21,0,up,1,0.755461833323352,None,21,0,21,0,59.71509670827072,,,,,,,,,,59.69873225002084,59.71509670827072,60.715740625048056,60.698778416612186,61.46556237502955,0,up,1,0.755461833323352,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
22,0,22,0,up,0,0.39042962505482137,None,22,0,22,0,61.482257291674614,,,,,,,,,,61.465614125016145,61.482257291674614,62.481324375025,62.464804374962114,62.865018666605465,0,up,0,0.39042962505482137,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
23,0,23,-1,down,1,0.44564258330501616,None,23,0,23,0,62.88178879162297,,,,,,,,,,62.86507950001396,62.88178879162297,63.88182295835577,63.864559916662984,64.31482341664378,-1,down,1,0.44564258330501616,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
24,0,24,0,up,0,0.3021650000009686,None,24,0,24,0,64.33173466671724,,,,,,,,,,64.31489883328322,64.33173466671724,65.331474208273,65.3150249166647,65.63150704163127,0,up,0,0.3021650000009686,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
25,0,25,-1,up,0,0.2725797499297187,None,25,0,25,0,65.64900404168293,,,,,,,,,,65.63155358331278,65.64900404168293,66.64804737502709,66.6315688333707,66.91503108327743,-1,up,0,0.2725797499297187,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
26,0,26,-1,up,0,0.24604150000959635,None,26,0,26,0,66.93174945830833,,,,,,,,,,66.91510195832234,66.93174945830833,67.93164795835037,67.91507037496194,68.16524054168258,-1,up,0,0.24604150000959635,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
27,0,27,0,up,1,0.4570254166610539,None,27,0,27,0,68.18160083331168,,,,,,,,,,68.16530383331701,68.18160083331168,69.18239887501113,69.1650311666308,69.63163320836611,0,up,1,0.4570254166610539,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
28,0,28,0,up,1,0.292569458251819,None,28,0,28,0,69.64793954160996,,,,,,,,,,69.6316890832968,69.64793954160996,70.6479084166931,70.6314813332865,70.93159995833412,0,up,1,0.292569458251819,None,,,,,sd1,001,2026-09-09_17h57.33.911,sd1_Signal detection task_2026-09-09_17h55.44.208.psydat,,2026.2.3,60.042645281513984,2026-09-09 17h57.33.958253 +0530,
